,character,index
0,pad,0
1,UNK,1
2,sos,2
3,eos,3
4,f,4
5,r,5
6,o,6
7,w,7
8,n,8
9,i,9
10,g,10
11,a,11
12,p,12
13,t,13
14,h,14
15,e,15
16,d,16
17,z,17
18,c,18
19,l,19
20,b,20
21,u,21
22,y,22
23,s,23
24,m,24
25,x,25
26,v,26
27,0,27
28,-,28
29,1,29
30,2,30
31,4,31
32,8,32
33,@,33
34,',34
35,j,35
36,k,36
37,q,37
38,9,38
39,æ,39
40,.,40
41,ï,41
42,ę,42
43,é,43
44,%,44
45,&,45
46,+,46
47,ë,47
48,6,48
49,<,49
50,3,50
51,*,51
52,œ,52
53,ò,53
54,ʻ,54
55,ö,55
56,/,56
57,í,57
58,ͭ,58
59,ͤ,59
60,ü,60
61,á,61
62,č,62
63,½,63
64,à,64
65,ê,65
66,ã,66
67,ñ,67
68,ó,68
69,ú,69
70,ā,70
71,ô,71
72,å,72
73,ʿ,73
74,ǃ,74
75,è,75
76,ō,76
77,ū,77
78,ē,78
79,ä,79
80,þ,80
81,ç,81
82,7,82
83,5,83
84,$,84
85,â,85
86,ğ,86
87,ı,87
88,₂,88
89,²,89
90,ț,90
91,ī,91
92,û,92
93,ż,93
94,ṇ,94
95,ḍ,95
96,ĉ,96
97,ċ,97
98,ù,98
99,"""",99
100,=,100
101,`,101
102,ṭ,102
103,ő,103
104,ń,104
105,ṛ,105
106,î,106
107,ì,107
108,ž,108
109,ś,109
110,ṅ,110
111,õ,111
112,ŏ,112
113,𐑞,113
114,𐑝,114
115,𐑓,115
116,𐑑,116
117,ṣ,117
118,ŭ,118
119,ð,119
120,ø,120
121,ḳ,121
122,ʾ,122
123,ł,123
124,ṃ,124
125,μ,125
126,;,126
127,!,127
128,ǀ,128
129,̇,129
130,š,130
131,ʟ,131
132,ź,132
133,σ,133
134,ḥ,134
135,ą,135
136,̥,136
137,ʼ,137
138,(,138
139,),139
140,ǁ,140
141,̬,141
142,ř,142
143,β,143
144,ș,144
145,ŵ,145
